Gene	Gene description	Concentration	Unit
ACP3	Acid phosphatase 3	470	ng/L
MAP4	Microtubule associated protein 4	470	ng/L
RPS5	Ribosomal protein S5	470	ng/L
SEMA6A	Semaphorin 6A	470	ng/L
ISM2	Isthmin 2	470	ng/L
OLFM4	Olfactomedin 4	470	ng/L
TST	Thiosulfate sulfurtransferase	470	ng/L
CBS	Cystathionine beta-synthase	470	ng/L
ADAM9	ADAM metallopeptidase domain 9	470	ng/L
KRTAP13-2	Keratin associated protein 13-2	470	ng/L
ISG15	ISG15 ubiquitin like modifier	470	ng/L
CYFIP2	Cytoplasmic FMR1 interacting protein 2	460	ng/L
PTPN18	Protein tyrosine phosphatase non-receptor type 18	460	ng/L
PRSS23	Serine protease 23	460	ng/L
ELANE	"Elastase, neutrophil expressed"	460	ng/L
MT-CO2	Mitochondrially encoded cytochrome c oxidase II	460	ng/L
DLL1	Delta like canonical Notch ligand 1	460	ng/L
CRYAB	Crystallin alpha B	450	ng/L
TNNC1	"Troponin C1, slow skeletal and cardiac type"	450	ng/L
MPP1	MAGUK p55 scaffold protein 1	450	ng/L
ETFA	Electron transfer flavoprotein subunit alpha	450	ng/L
TNFSF13	TNF superfamily member 13	450	ng/L
GATM	Glycine amidinotransferase	450	ng/L
NEFM	Neurofilament medium chain	440	ng/L
MNDA	Myeloid cell nuclear differentiation antigen	440	ng/L
ESM1	Endothelial cell specific molecule 1	440	ng/L
PRKCB	Protein kinase C beta	440	ng/L
NHLRC3	NHL repeat containing 3	440	ng/L
NEFL	Neurofilament light chain	440	ng/L
SEMA3B	Semaphorin 3B	430	ng/L
VPS35	VPS35 retromer complex component	430	ng/L
DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	430	ng/L
CLINT1	Clathrin interactor 1	430	ng/L
REG4	Regenerating family member 4	430	ng/L
EIF4A3	Eukaryotic translation initiation factor 4A3	430	ng/L
B3GAT3	"Beta-1,3-glucuronyltransferase 3"	430	ng/L
CD163L1	CD163 molecule like 1	430	ng/L
MUC16	"Mucin 16, cell surface associated"	430	ng/L
RPL10A	Ribosomal protein L10a	430	ng/L
HEBP1	Heme binding protein 1	420	ng/L
VAPA	VAMP associated protein A	420	ng/L
ENPP5	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5	420	ng/L
HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1	420	ng/L
LDB3	LIM domain binding 3	420	ng/L
HNRNPH2	Heterogeneous nuclear ribonucleoprotein H2	420	ng/L
IMPA1	Inositol monophosphatase 1	420	ng/L
ALDH1B1	Aldehyde dehydrogenase 1 family member B1	420	ng/L
ADAM15	ADAM metallopeptidase domain 15	420	ng/L
GALM	Galactose mutarotase	420	ng/L
DPYS	Dihydropyrimidinase	420	ng/L
ADGRA3	Adhesion G protein-coupled receptor A3	420	ng/L
ATP6AP1	ATPase H+ transporting accessory protein 1	410	ng/L
PAFAH1B3	Platelet activating factor acetylhydrolase 1b catalytic subunit 3	410	ng/L
PTGFRN	Prostaglandin F2 receptor inhibitor	410	ng/L
ABI1	Abl interactor 1	410	ng/L
CTSV	Cathepsin V	410	ng/L
SLC25A4	Solute carrier family 25 member 4	410	ng/L
AHNAK2	AHNAK nucleoprotein 2	410	ng/L
CHI3L2	Chitinase 3 like 2	400	ng/L
HNRNPM	Heterogeneous nuclear ribonucleoprotein M	400	ng/L
PYCARD	PYD and CARD domain containing	400	ng/L
KYNU	Kynureninase	400	ng/L
CRYL1	Crystallin lambda 1	400	ng/L
HBM	Hemoglobin subunit mu	400	ng/L
STRAP	Serine/threonine kinase receptor associated protein	390	ng/L
UBE2K	Ubiquitin conjugating enzyme E2 K	390	ng/L
CHRD	Chordin	390	ng/L
PSMC6	"Proteasome 26S subunit, ATPase 6"	390	ng/L
HCK	"HCK proto-oncogene, Src family tyrosine kinase"	390	ng/L
HGD	"Homogentisate 1,2-dioxygenase"	390	ng/L
RBP2	Retinol binding protein 2	390	ng/L
PCK1	Phosphoenolpyruvate carboxykinase 1	390	ng/L
PTPN12	Protein tyrosine phosphatase non-receptor type 12	390	ng/L
RPS6	Ribosomal protein S6	390	ng/L
FABP2	Fatty acid binding protein 2	390	ng/L
ADIRF	Adipogenesis regulatory factor	390	ng/L
CMTM5	CKLF like MARVEL transmembrane domain containing 5	390	ng/L
MCFD2	"Multiple coagulation factor deficiency 2, ER cargo receptor complex subunit"	390	ng/L
RPS23	Ribosomal protein S23	390	ng/L
COCH	Cochlin	380	ng/L
CBL	Cbl proto-oncogene	380	ng/L
SMOC2	SPARC related modular calcium binding 2	380	ng/L
LOX	Lysyl oxidase	380	ng/L
KHK	Ketohexokinase	380	ng/L
FBLN7	Fibulin 7	380	ng/L
GIP	Gastric inhibitory polypeptide	380	ng/L
SERPINI1	Serpin family I member 1	380	ng/L
GBA1	Glucosylceramidase beta 1	380	ng/L
MME	Membrane metalloendopeptidase	380	ng/L
FKBP4	FKBP prolyl isomerase 4	370	ng/L
MRI1	Methylthioribose-1-phosphate isomerase 1	370	ng/L
PPM1F	"Protein phosphatase, Mg2+/Mn2+ dependent 1F"	370	ng/L
ATP1A3	ATPase Na+/K+ transporting subunit alpha 3	370	ng/L
ZC3HAV1	"Zinc finger CCCH-type containing, antiviral 1"	370	ng/L
ALOX12	"Arachidonate 12-lipoxygenase, 12S type"	370	ng/L
CPA4	Carboxypeptidase A4	370	ng/L
ITGA9	Integrin subunit alpha 9	370	ng/L
RPL10	Ribosomal protein L10	370	ng/L
CACHD1	Cache domain containing 1	370	ng/L
HAAO	"3-hydroxyanthranilate 3,4-dioxygenase"	370	ng/L
B3GALNT1	"Beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)"	370	ng/L
AP2B1	Adaptor related protein complex 2 subunit beta 1	360	ng/L
CRMP1	Collapsin response mediator protein 1	360	ng/L
DNASE2	"Deoxyribonuclease 2, lysosomal"	360	ng/L
SRSF3	Serine and arginine rich splicing factor 3	360	ng/L
PSMF1	Proteasome inhibitor subunit 1	360	ng/L
SERBP1	SERPINE1 mRNA binding protein 1	360	ng/L
INA	Internexin neuronal intermediate filament protein alpha	360	ng/L
PCBD1	Pterin-4 alpha-carbinolamine dehydratase 1	360	ng/L
IL7R	Interleukin 7 receptor	360	ng/L
KISS1	KiSS-1 metastasis suppressor	360	ng/L
FKBP2	FKBP prolyl isomerase 2	360	ng/L
MUC20	"Mucin 20, cell surface associated"	360	ng/L
GLDC	Glycine decarboxylase	360	ng/L
APOBR	Apolipoprotein B receptor	360	ng/L
GLDN	Gliomedin	360	ng/L
FAS	Fas cell surface death receptor	350	ng/L
SEZ6	Seizure related 6 homolog	350	ng/L
RPL18	Ribosomal protein L18	350	ng/L
REXO2	RNA exonuclease 2	350	ng/L
PON2	Paraoxonase 2	350	ng/L
ETF1	Eukaryotic translation termination factor 1	350	ng/L
TNFAIP6	TNF alpha induced protein 6	350	ng/L
STK26	Serine/threonine kinase 26	350	ng/L
GASK1A	Golgi associated kinase 1A	350	ng/L
PAK1	P21 (RAC1) activated kinase 1	350	ng/L
SOST	Sclerostin	350	ng/L
H1-0	H1.0 linker histone	350	ng/L
HLA-DQA1	"Major histocompatibility complex, class II, DQ alpha 1"	350	ng/L
RPL12	Ribosomal protein L12	350	ng/L
COL5A3	Collagen type V alpha 3 chain	340	ng/L
EPB41L3	Erythrocyte membrane protein band 4.1 like 3	340	ng/L
CPPED1	Calcineurin like phosphoesterase domain containing 1	340	ng/L
SMPDL3B	Sphingomyelin phosphodiesterase acid like 3B	340	ng/L
CELA3A	Chymotrypsin like elastase 3A	340	ng/L
HAPLN1	Hyaluronan and proteoglycan link protein 1	340	ng/L
GHRL	Ghrelin and obestatin prepropeptide	340	ng/L
NEMF	Nuclear export mediator factor	340	ng/L
VDAC2	Voltage dependent anion channel 2	340	ng/L
CAVIN1	Caveolae associated protein 1	340	ng/L
ATOX1	Antioxidant 1 copper chaperone	340	ng/L
PNLIPRP1	Pancreatic lipase related protein 1	340	ng/L
LAYN	Layilin	340	ng/L
ERBB3	Erb-b2 receptor tyrosine kinase 3	330	ng/L
MAVS	Mitochondrial antiviral signaling protein	330	ng/L
TIMP3	TIMP metallopeptidase inhibitor 3	330	ng/L
TNNC2	"Troponin C2, fast skeletal type"	330	ng/L
BPNT2	"3'(2'), 5'-bisphosphate nucleotidase 2"	330	ng/L
RAB2A	"RAB2A, member RAS oncogene family"	330	ng/L
INHBA	Inhibin subunit beta A	330	ng/L
ARPP19	CAMP regulated phosphoprotein 19	330	ng/L
CAMK1	Calcium/calmodulin dependent protein kinase I	330	ng/L
ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1	330	ng/L
TGFB1I1	Transforming growth factor beta 1 induced transcript 1	330	ng/L
RPS3	Ribosomal protein S3	330	ng/L
DDAH1	Dimethylarginine dimethylaminohydrolase 1	330	ng/L
UCHL1	Ubiquitin C-terminal hydrolase L1	330	ng/L
NPNT	Nephronectin	330	ng/L
BSG	Basigin (Ok blood group)	330	ng/L
TANGO2	Transport and golgi organization 2 homolog	330	ng/L
LRP6	LDL receptor related protein 6	320	ng/L
HSD17B10	Hydroxysteroid 17-beta dehydrogenase 10	320	ng/L
CASS4	Cas scaffold protein family member 4	320	ng/L
FBXO7	F-box protein 7	320	ng/L
TAOK3	TAO kinase 3	320	ng/L
GDF11	Growth differentiation factor 11	320	ng/L
SH3GL1	"SH3 domain containing GRB2 like 1, endophilin A2"	320	ng/L
NONO	Non-POU domain containing octamer binding	320	ng/L
PDLIM3	PDZ and LIM domain 3	320	ng/L
HHIP	Hedgehog interacting protein	320	ng/L
FN3K	Fructosamine 3 kinase	320	ng/L
GUSB	Glucuronidase beta	320	ng/L
CTSW	Cathepsin W	320	ng/L
COX5A	Cytochrome c oxidase subunit 5A	320	ng/L
S100A14	S100 calcium binding protein A14	320	ng/L
PLXNB3	Plexin B3	320	ng/L
C1orf68	Chromosome 1 open reading frame 68	320	ng/L
SULT1A3	Sulfotransferase family 1A member 3	320	ng/L
CUBN	Cubilin	310	ng/L
SCP2	Sterol carrier protein 2	310	ng/L
LRRFIP1	LRR binding FLII interacting protein 1	310	ng/L
RPS3A	Ribosomal protein S3A	310	ng/L
MMP3	Matrix metallopeptidase 3	310	ng/L
ATP5PF	ATP synthase peripheral stalk subunit F6	310	ng/L
CMBL	Carboxymethylenebutenolidase homolog	310	ng/L
OLFML1	Olfactomedin like 1	310	ng/L
MBP	Myelin basic protein	310	ng/L
RPL23A	Ribosomal protein L23a	310	ng/L
DERA	Deoxyribose-phosphate aldolase	300	ng/L
XPO1	Exportin 1	300	ng/L
GLRX3	Glutaredoxin 3	300	ng/L
PDCD10	Programmed cell death 10	300	ng/L
SRSF7	Serine and arginine rich splicing factor 7	300	ng/L
WBP2	WW domain binding protein 2	300	ng/L
HS6ST1	Heparan sulfate 6-O-sulfotransferase 1	300	ng/L
CTSK	Cathepsin K	300	ng/L
RPL7	Ribosomal protein L7	300	ng/L
CRB2	Crumbs cell polarity complex component 2	300	ng/L
AGL	"Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"	300	ng/L
BROX	BRO1 domain and CAAX motif containing	300	ng/L
VEGFD	Vascular endothelial growth factor D	300	ng/L
RHOG	Ras homolog family member G	300	ng/L
JAG2	Jagged canonical Notch ligand 2	300	ng/L
OLFML2A	Olfactomedin like 2A	300	ng/L
SHPK	Sedoheptulokinase	300	ng/L
FUS	FUS RNA binding protein	290	ng/L
SEC14L2	SEC14 like lipid binding 2	290	ng/L
GALNT16	Polypeptide N-acetylgalactosaminyltransferase 16	290	ng/L
PRPS2	Phosphoribosyl pyrophosphate synthetase 2	290	ng/L
CHRDL1	Chordin like 1	290	ng/L
FAM98A	Family with sequence similarity 98 member A	290	ng/L
PDGFRA	Platelet derived growth factor receptor alpha	290	ng/L
USP15	Ubiquitin specific peptidase 15	290	ng/L
AMIGO2	Adhesion molecule with Ig like domain 2	290	ng/L
RPL11	Ribosomal protein L11	290	ng/L
ADM	Adrenomedullin	290	ng/L
EMCN	Endomucin	290	ng/L
SCG2	Secretogranin II	290	ng/L
PSMD2	"Proteasome 26S subunit ubiquitin receptor, non-ATPase 2"	290	ng/L
RPS17	Ribosomal protein S17	290	ng/L
SEPTIN9	Septin 9	290	ng/L
SNX2	Sorting nexin 2	290	ng/L
MVP	Major vault protein	280	ng/L
ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	280	ng/L
SAR1A	Secretion associated Ras related GTPase 1A	280	ng/L
TNNT1	"Troponin T1, slow skeletal type"	280	ng/L
RPL5	Ribosomal protein L5	280	ng/L
PLAU	"Plasminogen activator, urokinase"	280	ng/L
HNRNPR	Heterogeneous nuclear ribonucleoprotein R	280	ng/L
COPB1	COPI coat complex subunit beta 1	280	ng/L
GDF15	Growth differentiation factor 15	280	ng/L
CAMK2D	Calcium/calmodulin dependent protein kinase II delta	280	ng/L
CAMK2G	Calcium/calmodulin dependent protein kinase II gamma	280	ng/L
RGS18	Regulator of G protein signaling 18	280	ng/L
ADAMTSL3	ADAMTS like 3	280	ng/L
GART	"Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"	280	ng/L
BAG6	BAG cochaperone 6	280	ng/L
SERPINB5	Serpin family B member 5	280	ng/L
ADSL	Adenylosuccinate lyase	280	ng/L
VSIG8	V-set and immunoglobulin domain containing 8	280	ng/L
CNPY2	Canopy FGF signaling regulator 2	280	ng/L
DCUN1D1	Defective in cullin neddylation 1 domain containing 1	270	ng/L
OXT	Oxytocin/neurophysin I prepropeptide	270	ng/L
PLD3	Phospholipase D family member 3	270	ng/L
PNPO	Pyridoxamine 5'-phosphate oxidase	270	ng/L
GALNT3	Polypeptide N-acetylgalactosaminyltransferase 3	270	ng/L
NPPB	Natriuretic peptide B	270	ng/L
LYPLA1	Lysophospholipase 1	270	ng/L
IL2RA	Interleukin 2 receptor subunit alpha	270	ng/L
PRKACB	Protein kinase cAMP-activated catalytic subunit beta	270	ng/L
BAG3	BAG cochaperone 3	270	ng/L
RBBP4	"RB binding protein 4, chromatin remodeling factor"	270	ng/L
BMP10	Bone morphogenetic protein 10	270	ng/L
FCRL1	Fc receptor like 1	270	ng/L
NDRG2	NDRG family member 2	270	ng/L
HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	270	ng/L
SERPINB13	Serpin family B member 13	270	ng/L
CPNE1	Copine 1	270	ng/L
HLA-DPA1	"Major histocompatibility complex, class II, DP alpha 1"	270	ng/L
HSPB6	Heat shock protein family B (small) member 6	260	ng/L
PRKAR2B	Protein kinase cAMP-dependent type II regulatory subunit beta	260	ng/L
MATR3	Matrin 3	260	ng/L
PRKACA	Protein kinase cAMP-activated catalytic subunit alpha	260	ng/L
NPTX2	Neuronal pentraxin 2	260	ng/L
SPRING1	SREBF pathway regulator in golgi 1	260	ng/L
UFM1	Ubiquitin fold modifier 1	260	ng/L
COPS4	COP9 signalosome subunit 4	260	ng/L
ENOPH1	Enolase-phosphatase 1	260	ng/L
ARMT1	Acidic residue methyltransferase 1	260	ng/L
ATP5F1C	ATP synthase F1 subunit gamma	260	ng/L
CRK	"CRK proto-oncogene, adaptor protein"	260	ng/L
GLMN	"Glomulin, FKBP associated protein"	260	ng/L
DSG4	Desmoglein 4	260	ng/L
SLITRK4	SLIT and NTRK like family member 4	260	ng/L
ENPP7	Ectonucleotide pyrophosphatase/phosphodiesterase 7	260	ng/L
SHMT2	Serine hydroxymethyltransferase 2	260	ng/L
DDX39B	DExD-box helicase 39B	260	ng/L
MPIG6B	Megakaryocyte and platelet inhibitory receptor G6b	260	ng/L
IPO7	Importin 7	260	ng/L
DDX3X	DEAD-box helicase 3 X-linked	260	ng/L
SERPINB10	Serpin family B member 10	260	ng/L
COL9A2	Collagen type IX alpha 2 chain	250	ng/L
CAMK2B	Calcium/calmodulin dependent protein kinase II beta	250	ng/L
YBX3	Y-box binding protein 3	250	ng/L
CACYBP	Calcyclin binding protein	250	ng/L
GAMT	Guanidinoacetate N-methyltransferase	250	ng/L
BAAT	Bile acid-CoA:amino acid N-acyltransferase	250	ng/L
SLIT2	Slit guidance ligand 2	250	ng/L
PFKM	"Phosphofructokinase, muscle"	250	ng/L
IGSF10	Immunoglobulin superfamily member 10	250	ng/L
CD1C	CD1c molecule	250	ng/L
PSMC2	"Proteasome 26S subunit, ATPase 2"	250	ng/L
BPNT1	"3'(2'), 5'-bisphosphate nucleotidase 1"	250	ng/L
ALDH7A1	Aldehyde dehydrogenase 7 family member A1	250	ng/L
CEL	Carboxyl ester lipase	250	ng/L
NHLRC2	NHL repeat containing 2	250	ng/L
DPEP1	Dipeptidase 1	240	ng/L
SDHA	Succinate dehydrogenase complex flavoprotein subunit A	240	ng/L
GCN1	GCN1 activator of EIF2AK4	240	ng/L
EIF4G1	Eukaryotic translation initiation factor 4 gamma 1	240	ng/L
DTD1	D-aminoacyl-tRNA deacylase 1	240	ng/L
EIF2S2	Eukaryotic translation initiation factor 2 subunit beta	240	ng/L
G3BP1	G3BP stress granule assembly factor 1	240	ng/L
PLCB3	Phospholipase C beta 3	240	ng/L
HNRNPDL	Heterogeneous nuclear ribonucleoprotein D like	240	ng/L
LZIC	Leucine zipper and CTNNBIP1 domain containing	240	ng/L
SYK	Spleen associated tyrosine kinase	240	ng/L
PSMC3	"Proteasome 26S subunit, ATPase 3"	240	ng/L
LAIR1	Leukocyte associated immunoglobulin like receptor 1	240	ng/L
HARS1	Histidyl-tRNA synthetase 1	240	ng/L
CYTL1	Cytokine like 1	240	ng/L
PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	230	ng/L
NCK2	NCK adaptor protein 2	230	ng/L
CELSR1	Cadherin EGF LAG seven-pass G-type receptor 1	230	ng/L
PSMD5	"Proteasome 26S subunit, non-ATPase 5"	230	ng/L
APEX1	Apurinic/apyrimidinic endodeoxyribonuclease 1	230	ng/L
TBCB	Tubulin folding cofactor B	230	ng/L
LIPA	"Lipase A, lysosomal acid type"	230	ng/L
DARS1	Aspartyl-tRNA synthetase 1	230	ng/L
IDE	Insulin degrading enzyme	230	ng/L
COL21A1	Collagen type XXI alpha 1 chain	230	ng/L
XPO7	Exportin 7	230	ng/L
RPS8	Ribosomal protein S8	230	ng/L
WASF2	WASP family member 2	230	ng/L
HDAC11	Histone deacetylase 11	230	ng/L
SCGB3A2	Secretoglobin family 3A member 2	230	ng/L
GPX4	Glutathione peroxidase 4	230	ng/L
OXSR1	Oxidative stress responsive kinase 1	230	ng/L
PIPOX	Pipecolic acid and sarcosine oxidase	230	ng/L
MCTS1	MCTS1 re-initiation and release factor	230	ng/L
HAL	Histidine ammonia-lyase	220	ng/L
DNAJB11	DnaJ heat shock protein family (Hsp40) member B11	220	ng/L
GRAP2	GRB2 related adaptor protein 2	220	ng/L
ACTR1B	Actin related protein 1B	220	ng/L
HPCAL1	Hippocalcin like 1	220	ng/L
ANGPTL1	Angiopoietin like 1	220	ng/L
LACRT	Lacritin	220	ng/L
ITGB7	Integrin subunit beta 7	220	ng/L
MEP1B	Meprin A subunit beta	220	ng/L
ATP6V1B2	ATPase H+ transporting V1 subunit B2	220	ng/L
CD8A	CD8a molecule	220	ng/L
PEA15	Proliferation and apoptosis adaptor protein 15	220	ng/L
C19orf33	Chromosome 19 open reading frame 33	220	ng/L
AP2A2	Adaptor related protein complex 2 subunit alpha 2	220	ng/L
NAXD	NAD(P)HX dehydratase	220	ng/L
PGM3	Phosphoglucomutase 3	210	ng/L
ARHGAP6	Rho GTPase activating protein 6	210	ng/L
KIF2A	Kinesin family member 2A	210	ng/L
NANS	N-acetylneuraminate synthase	210	ng/L
PFDN4	Prefoldin subunit 4	210	ng/L
SPOCK2	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2"	210	ng/L
GALNT18	Polypeptide N-acetylgalactosaminyltransferase 18	210	ng/L
ECRG4	ECRG4 augurin precursor	210	ng/L
ANXA11	Annexin A11	210	ng/L
GNAZ	G protein subunit alpha z	210	ng/L
MGAT3	"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"	210	ng/L
ACE2	Angiotensin converting enzyme 2	210	ng/L
ANP32E	Acidic nuclear phosphoprotein 32 family member E	210	ng/L
SNX12	Sorting nexin 12	210	ng/L
XDH	Xanthine dehydrogenase	210	ng/L
GSDMA	Gasdermin A	210	ng/L
PCCA	Propionyl-CoA carboxylase subunit alpha	210	ng/L
SLITRK1	SLIT and NTRK like family member 1	210	ng/L
PITPNB	Phosphatidylinositol transfer protein beta	210	ng/L
NQO1	NAD(P)H quinone dehydrogenase 1	210	ng/L
UNC5C	Unc-5 netrin receptor C	210	ng/L
CLDN5	Claudin 5	210	ng/L
RPL17	Ribosomal protein L17	210	ng/L
PSMC4	"Proteasome 26S subunit, ATPase 4"	200	ng/L
HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	200	ng/L
PRMT5	Protein arginine methyltransferase 5	200	ng/L
GSPT1	G1 to S phase transition 1	200	ng/L
ASCC3	Activating signal cointegrator 1 complex subunit 3	200	ng/L
FLT3	Fms related receptor tyrosine kinase 3	200	ng/L
DDX39A	DExD-box helicase 39A	200	ng/L
PSME3	Proteasome activator subunit 3	200	ng/L
KLB	Klotho beta	200	ng/L
EPHX1	Epoxide hydrolase 1	200	ng/L
SNRNP200	Small nuclear ribonucleoprotein U5 subunit 200	200	ng/L
PLA1A	Phospholipase A1 member A	200	ng/L
TNFAIP8	TNF alpha induced protein 8	200	ng/L
VEGFC	Vascular endothelial growth factor C	200	ng/L
STC1	Stanniocalcin 1	200	ng/L
SNRPD1	Small nuclear ribonucleoprotein D1 polypeptide	200	ng/L
SMR3B	Submaxillary gland androgen regulated protein 3B	200	ng/L
RSL1D1	Ribosomal L1 domain containing 1	200	ng/L
MPI	Mannose phosphate isomerase	200	ng/L
YOD1	YOD1 deubiquitinase	200	ng/L
IST1	IST1 factor associated with ESCRT-III	200	ng/L
COL4A1	Collagen type IV alpha 1 chain	200	ng/L
DCTN1	Dynactin subunit 1	200	ng/L
UQCRC1	Ubiquinol-cytochrome c reductase core protein 1	190	ng/L
MYOM2	Myomesin 2	190	ng/L
IRAG1	"Inositol 1,4,5-triphosphate receptor associated 1"	190	ng/L
DNM2	Dynamin 2	190	ng/L
DDX5	DEAD-box helicase 5	190	ng/L
TP53I3	Tumor protein p53 inducible protein 3	190	ng/L
SLAMF1	Signaling lymphocytic activation molecule family member 1	190	ng/L
TMPO	Thymopoietin	190	ng/L
COPA	COPI coat complex subunit alpha	190	ng/L
LOXL1	Lysyl oxidase like 1	190	ng/L
PPT1	Palmitoyl-protein thioesterase 1	190	ng/L
SCRN1	Secernin 1	190	ng/L
GCHFR	GTP cyclohydrolase I feedback regulator	190	ng/L
SCAMP2	Secretory carrier membrane protein 2	190	ng/L
PARD3	Par-3 family cell polarity regulator	190	ng/L
TNNI1	"Troponin I1, slow skeletal type"	190	ng/L
CASP3	Caspase 3	190	ng/L
FNTA	"Farnesyltransferase, CAAX box, alpha"	190	ng/L
RPL15	Ribosomal protein L15	190	ng/L
CKAP5	Cytoskeleton associated protein 5	190	ng/L
IMPDH2	Inosine monophosphate dehydrogenase 2	190	ng/L
LILRB4	Leukocyte immunoglobulin like receptor B4	190	ng/L
MYBPC1	Myosin binding protein C1	190	ng/L
AP2A1	Adaptor related protein complex 2 subunit alpha 1	190	ng/L
GALT	Galactose-1-phosphate uridylyltransferase	190	ng/L
ADGRA2	Adhesion G protein-coupled receptor A2	180	ng/L
CUL1	Cullin 1	180	ng/L
EPB41L2	Erythrocyte membrane protein band 4.1 like 2	180	ng/L
MYBPC2	Myosin binding protein C2	180	ng/L
PCSK5	Proprotein convertase subtilisin/kexin type 5	180	ng/L
HAO1	Hydroxyacid oxidase 1	180	ng/L
CBX3	Chromobox 3	180	ng/L
FKBP9	FKBP prolyl isomerase 9	180	ng/L
EFHD2	EF-hand domain family member D2	180	ng/L
RPL30	Ribosomal protein L30	180	ng/L
S100B	S100 calcium binding protein B	180	ng/L
S100A1	S100 calcium binding protein A1	180	ng/L
NNMT	Nicotinamide N-methyltransferase	180	ng/L
PAFAH1B2	Platelet activating factor acetylhydrolase 1b catalytic subunit 2	180	ng/L
ERBB4	Erb-b2 receptor tyrosine kinase 4	180	ng/L
PTP4A2	Protein tyrosine phosphatase 4A2	180	ng/L
LRRC19	Leucine rich repeat containing 19	180	ng/L
S100A16	S100 calcium binding protein A16	180	ng/L
SIRPB2	Signal regulatory protein beta 2	180	ng/L
GSTK1	Glutathione S-transferase kappa 1	180	ng/L
VTA1	Vesicle trafficking 1	170	ng/L
KITLG	KIT ligand	170	ng/L
VAMP3	Vesicle associated membrane protein 3	170	ng/L
ADGRL1	Adhesion G protein-coupled receptor L1	170	ng/L
CPNE3	Copine 3	170	ng/L
NUDC	"Nuclear distribution C, dynein complex regulator"	170	ng/L
MAPK1	Mitogen-activated protein kinase 1	170	ng/L
NPDC1	"Neural proliferation, differentiation and control 1"	170	ng/L
COX7A2	Cytochrome c oxidase subunit 7A2	170	ng/L
GNMT	Glycine N-methyltransferase	170	ng/L
SCLY	Selenocysteine lyase	170	ng/L
BCAN	Brevican	170	ng/L
LARS1	Leucyl-tRNA synthetase 1	170	ng/L
IAH1	Isoamyl acetate hydrolyzing esterase 1 (putative)	170	ng/L
CAPRIN1	Cell cycle associated protein 1	170	ng/L
SCRN2	Secernin 2	170	ng/L
TMEM132D	Transmembrane protein 132D	170	ng/L
CARHSP1	Calcium regulated heat stable protein 1	170	ng/L
PRKCA	Protein kinase C alpha	170	ng/L
AIFM1	Apoptosis inducing factor mitochondria associated 1	170	ng/L
SUCLG1	Succinate-CoA ligase GDP/ADP-forming subunit alpha	170	ng/L
DEFA5	Defensin alpha 5	170	ng/L
COPS2	COP9 signalosome subunit 2	170	ng/L
PGP	Phosphoglycolate phosphatase	170	ng/L
ADSS1	Adenylosuccinate synthase 1	170	ng/L
PRSS57	Serine protease 57	170	ng/L
S100A10	S100 calcium binding protein A10	170	ng/L
LRBA	LPS responsive beige-like anchor protein	170	ng/L
ABHD14A	Abhydrolase domain containing 14A	170	ng/L
CX3CL1	C-X3-C motif chemokine ligand 1	160	ng/L
PPP5C	Protein phosphatase 5 catalytic subunit	160	ng/L
GPC4	Glypican 4	160	ng/L
GSTZ1	Glutathione S-transferase zeta 1	160	ng/L
PSMC1	"Proteasome 26S subunit, ATPase 1"	160	ng/L
EIF3B	Eukaryotic translation initiation factor 3 subunit B	160	ng/L
GTPBP4	GTP binding protein 4	160	ng/L
COX6A1	Cytochrome c oxidase subunit 6A1	160	ng/L
LIFR	LIF receptor subunit alpha	160	ng/L
ECHDC2	Enoyl-CoA hydratase domain containing 2	160	ng/L
SARDH	Sarcosine dehydrogenase	160	ng/L
PUDP	Pseudouridine 5'-phosphatase	160	ng/L
NPL	N-acetylneuraminate pyruvate lyase	160	ng/L
CKAP4	Cytoskeleton associated protein 4	160	ng/L
SRSF1	Serine and arginine rich splicing factor 1	160	ng/L
RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	160	ng/L
UQCRC2	Ubiquinol-cytochrome c reductase core protein 2	160	ng/L
TPBG	Trophoblast glycoprotein	160	ng/L
UBASH3B	Ubiquitin associated and SH3 domain containing B	160	ng/L
ALPI	"Alkaline phosphatase, intestinal"	160	ng/L
GNG12	G protein subunit gamma 12	160	ng/L
MARCKSL1	MARCKS like 1	160	ng/L
VWA1	Von Willebrand factor A domain containing 1	160	ng/L
PENK	Proenkephalin	160	ng/L
RAP2B	"RAP2B, member of RAS oncogene family"	160	ng/L
RPL14	Ribosomal protein L14	160	ng/L
KRT39	Keratin 39	160	ng/L
NEU1	Neuraminidase 1	160	ng/L
